HEROIC,ENCE,TEAM LIQUID,FAZE CLAN,VIRTUS.PRO,NATUS VINCERE,apeks,skade,we live again,karagümrük espor,where team,bystanders,entropiq,blaze esports,orgless (eu),norsemen hkraft,redline,afteralt,BBL ESPORTS,exhalation,digital athletics,five,mutiny,supermassive blaze,road to glory,QUESTION MARK,plan b,ding,ska esports,hall of game,tokyo manji gang,galakticos,vanir,gear up
3.0,6,0,0,5,4,,10.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,
0.0,1,10,3,0,4,,0.0,,,,,,,,,0.0,0.0,1.0,6.0,2.0,0.0,0.0,5.0,0.0,,,,,,,,,
3.0,0,10,1,2,5,,0.0,,,,,,,,,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
1.0,0,2,0,10,5,,0.0,,,,,,,,,0.0,3.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,,,,,,,,,
0.0,1,0,0,4,0,,6.0,,,,,,,,,0.0,0.0,10.0,0.0,5.0,1.0,3.0,0.0,2.0,,,,,,,,,
0.0,6,0,5,3,2,,0.0,,,,,,,,,10.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,
0.0,5,0,2,0,10,,0.0,,,,,,,,,6.0,4.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,,,,
4.0,0,0,1,0,5,,3.0,,,,,,,,,10.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,,,
0.0,5,0,4,2,6,,1.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0,,,,,,,,,
0.0,3,0,2,0,4,,10.0,,,,,,,,,0.0,5.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,,,,,,,,,
0.0,4,0,0,10,5,,0.0,,,,,,,,,0.0,0.0,1.0,3.0,0.0,1.0,6.0,2.0,0.0,,,,,,,,,
5.0,0,0,0,4,6,,10.0,,,,,,,,,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,,,,,,,,,
2.0,10,5,0,3,0,,6.0,,,,,,,,,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,
,1,4,0,0,2,,0.0,,,,,0.0,,0.0,,0.0,,,,5.0,,3.0,1.0,,6.0,10.0,0.0,0.0,,,,,
,0,0,3,4,2,,1.0,,,,,0.0,,0.0,,0.0,,,,0.0,,1.0,0.0,,10.0,0.0,5.0,6.0,,,,,
,0,2,1,5,0,,0.0,,,,,3.0,,0.0,,10.0,,,,6.0,,0.0,0.0,,4.0,1.0,0.0,0.0,,,,,
,0,10,0,2,4,,1.0,,,,,0.0,,0.0,,5.0,,,,1.0,,3.0,6.0,,0.0,0.0,0.0,0.0,,,,,
,0,0,2,6,10,,0.0,,,,,0.0,,0.0,,0.0,,,,1.0,,3.0,0.0,,5.0,1.0,4.0,0.0,,,,,
,3,0,10,5,0,,0.0,,,,,0.0,,6.0,,1.0,,,,4.0,,1.0,0.0,,2.0,0.0,0.0,0.0,,,,,
,0,0,1,10,5,,0.0,,,,,0.0,,0.0,,6.0,,,,4.0,,1.0,0.0,,0.0,2.0,3.0,0.0,,,,,
,0,6,10,0,0,,0.0,,,,,1.0,,1.0,,0.0,,,,0.0,,0.0,2.0,,5.0,3.0,4.0,0.0,,,,,
,4,5,6,0,10,,1.0,,,,,0.0,,3.0,,0.0,,,,0.0,,0.0,2.0,,0.0,1.0,0.0,0.0,,,,,
,4,0,0,6,5,,0.0,,,,,1.0,,0.0,,0.0,,,,10.0,,1.0,3.0,,0.0,2.0,0.0,0.0,,,,,
,3,6,5,0,1,,0.0,,,,,0.0,,10.0,,0.0,,,,0.0,,2.0,0.0,,0.0,4.0,0.0,1.0,,,,,
,2,3,0,4,1,,0.0,,,,,0.0,,0.0,,6.0,,,,5.0,,0.0,0.0,,10.0,0.0,0.0,1.0,,,,,
,3,0,0,5,1,,0.0,,,,,4.0,,1.0,,0.0,,,,10.0,,0.0,6.0,,0.0,2.0,0.0,0.0,,,,,
,0,2,0,10,0,,3.0,,,,,0.0,,5.0,,0.0,,,,4.0,,6.0,0.0,,1.0,0.0,0.0,1.0,,,,,
,0,3,0,10,0,,1.0,,,,,2.0,,1.0,,4.0,,,,6.0,,0.0,0.0,,0.0,5.0,0.0,0.0,,,,,
,10,5,6,0,2,,0.0,,,,,3.0,,0.0,,4.0,,,,1.0,,0.0,0.0,,1.0,0.0,0.0,0.0,,,,,
,0,2,0,5,0,,1.0,,,,,0.0,,4.0,,3.0,,,,6.0,,0.0,1.0,,0.0,0.0,10.0,0.0,,,,,
,6,0,2,5,0,,1.0,,,,,1.0,,0.0,,0.0,,,,4.0,,3.0,0.0,,10.0,0.0,0.0,0.0,,,,,
,0,5,0,4,3,,0.0,,,,,0.0,,1.0,,0.0,,,,6.0,,2.0,10.0,,0.0,0.0,1.0,0.0,,,,,
,2,1,4,10,0,,0.0,,,,,0.0,,0.0,,3.0,,,,6.0,,5.0,1.0,,0.0,0.0,0.0,0.0,,,,,
,5,0,2,0,10,,3.0,,,,,0.0,,0.0,,6.0,,,,1.0,,0.0,1.0,,4.0,0.0,0.0,0.0,,,,,
,2,1,0,10,3,,0.0,,,,,0.0,,0.0,,1.0,,,,5.0,,0.0,4.0,,0.0,0.0,6.0,0.0,,,,,
,5,0,0,1,6,,4.0,,,,,1.0,,0.0,,0.0,,,,0.0,,2.0,3.0,,0.0,0.0,10.0,0.0,,,,,
,1,0,0,5,0,,3.0,,,,,0.0,,4.0,,0.0,,,,1.0,,0.0,0.0,,10.0,0.0,2.0,6.0,,,,,
2.0,5,0,0,10,0,,,,,,,,,,,,,1.0,1.0,3.0,,,0.0,,0.0,,,,4.0,0.0,0.0,6.0,0.0
0.0,0,1,6,3,2,,,,,,,,,,,,,0.0,10.0,0.0,,,0.0,,0.0,,,,0.0,0.0,4.0,5.0,1.0
6.0,0,5,0,3,2,,,,,,,,,,,,,4.0,0.0,10.0,,,0.0,,0.0,,,,1.0,0.0,0.0,1.0,0.0
10.0,1,2,1,5,0,,,,,,,,,,,,,4.0,0.0,6.0,,,0.0,,0.0,,,,0.0,3.0,0.0,0.0,0.0
4.0,0,1,0,10,5,,,,,,,,,,,,,0.0,2.0,3.0,,,0.0,,0.0,,,,0.0,0.0,6.0,0.0,1.0
0.0,0,1,0,5,0,,,,,,,,,,,,,10.0,0.0,0.0,,,3.0,,0.0,,,,1.0,0.0,6.0,2.0,4.0
1.0,10,1,0,0,6,,,,,,,,,,,,,4.0,5.0,3.0,,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0
0.0,0,0,0,5,6,,,,,,,,,,,,,0.0,1.0,1.0,,,3.0,,0.0,,,,10.0,0.0,4.0,0.0,2.0
0.0,5,0,0,0,0,,,,,,,,,,,,,10.0,0.0,4.0,,,1.0,,6.0,,,,1.0,2.0,3.0,0.0,0.0
6.0,0,2,0,3,0,,,,,,,,,,,,,0.0,5.0,10.0,,,0.0,,4.0,,,,0.0,1.0,0.0,0.0,1.0
0.0,0,6,1,0,1,,,,,,,,,,,,,4.0,0.0,0.0,,,10.0,,0.0,,,,3.0,0.0,0.0,2.0,5.0
0.0,1,2,1,6,0,,,,,,,,,,,,,0.0,0.0,4.0,,,0.0,,10.0,,,,0.0,0.0,3.0,0.0,5.0
0.0,5,0,0,1,4,,,,,,,,,,,,,3.0,0.0,0.0,,,0.0,,6.0,,,,10.0,1.0,0.0,2.0,0.0
0.0,4,5,0,10,2,,,,,,,,,,,,,0.0,0.0,1.0,,,3.0,,6.0,,,,0.0,0.0,0.0,1.0,0.0
0.0,3,4,6,0,0,,,,,,,,,,,,,0.0,0.0,0.0,,,2.0,,10.0,,,,0.0,1.0,1.0,5.0,0.0
4.0,0,5,1,1,10,,,,,,,,,,,,,0.0,0.0,6.0,,,3.0,,0.0,,,,0.0,0.0,2.0,0.0,0.0
0.0,6,10,1,0,0,,,,,,,,,,,,,1.0,0.0,4.0,,,3.0,,0.0,,,,0.0,0.0,0.0,2.0,5.0
1.0,5,6,10,0,1,,,,,,,,,,,,,0.0,4.0,3.0,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,2.0
0.0,1,6,0,0,5,,,,,,,,,,,,,0.0,1.0,3.0,,,0.0,,0.0,,,,0.0,4.0,2.0,10.0,0.0
0.0,0,0,2,0,4,,,,,,,,,,,,,5.0,0.0,0.0,,,0.0,,1.0,,,,1.0,10.0,3.0,0.0,6.0
0.0,0,3,0,0,6,,,,,,,,,,,,,1.0,10.0,4.0,,,1.0,,0.0,,,,0.0,2.0,0.0,5.0,0.0
4.0,0,3,10,1,0,,,,,,,,,,,,,0.0,0.0,5.0,,,6.0,,0.0,,,,0.0,0.0,1.0,2.0,0.0
10.0,1,0,0,0,1,,,,,,,,,,,,,0.0,6.0,4.0,,,0.0,,0.0,,,,0.0,0.0,5.0,3.0,2.0
0.0,3,0,0,0,10,,,,,,,,,,,,,6.0,0.0,5.0,,,4.0,,1.0,,,,0.0,0.0,2.0,0.0,1.0
0.0,6,0,0,10,4,,,,,,,,,,,,,1.0,0.0,3.0,,,0.0,,0.0,,,,1.0,0.0,5.0,2.0,0.0
